,datetime,symbol,open,high,low,close,volume
0,2023-10-05 20:45:00,OANDA:AUDUSD,0.6363,0.63649,0.63622,0.63644,448.0
1,2023-10-05 20:30:00,OANDA:AUDUSD,0.63606,0.63639,0.63571,0.6363,573.0
2,2023-10-05 20:15:00,OANDA:AUDUSD,0.63586,0.63607,0.63566,0.63606,653.0
3,2023-10-05 20:00:00,OANDA:AUDUSD,0.63586,0.63596,0.63534,0.63586,672.0
4,2023-10-05 19:45:00,OANDA:AUDUSD,0.63559,0.63586,0.63522,0.63586,583.0
5,2023-10-05 19:30:00,OANDA:AUDUSD,0.63587,0.63605,0.635495,0.63559,516.0
6,2023-10-05 19:15:00,OANDA:AUDUSD,0.63546,0.635905,0.63517,0.63587,882.0
7,2023-10-05 19:00:00,OANDA:AUDUSD,0.63464,0.63552,0.6345,0.63546,874.0
8,2023-10-05 18:45:00,OANDA:AUDUSD,0.6347,0.63515,0.63454,0.63464,970.0
9,2023-10-05 18:30:00,OANDA:AUDUSD,0.63481,0.63551,0.6347,0.6347,1006.0
10,2023-10-05 18:15:00,OANDA:AUDUSD,0.63476,0.635425,0.63452,0.63481,947.0
11,2023-10-05 18:00:00,OANDA:AUDUSD,0.635,0.635125,0.634295,0.63476,1211.0
12,2023-10-05 17:45:00,OANDA:AUDUSD,0.63442,0.63522,0.634215,0.635,1070.0
13,2023-10-05 17:30:00,OANDA:AUDUSD,0.63492,0.63492,0.63392,0.63442,974.0
14,2023-10-05 17:15:00,OANDA:AUDUSD,0.6348,0.63537,0.63455,0.63492,1197.0
15,2023-10-05 17:00:00,OANDA:AUDUSD,0.63524,0.63524,0.63404,0.6348,1421.0
16,2023-10-05 16:45:00,OANDA:AUDUSD,0.63466,0.635565,0.63428,0.63524,1552.0
17,2023-10-05 16:30:00,OANDA:AUDUSD,0.63509,0.63564,0.63459,0.63466,1771.0
18,2023-10-05 16:15:00,OANDA:AUDUSD,0.63389,0.63512,0.633635,0.63509,1091.0
19,2023-10-05 16:00:00,OANDA:AUDUSD,0.63432,0.63472,0.63389,0.63389,1017.0
20,2023-10-05 15:45:00,OANDA:AUDUSD,0.63292,0.63442,0.6329,0.63432,891.0
21,2023-10-05 15:30:00,OANDA:AUDUSD,0.63393,0.63403,0.63273,0.63292,1638.0
22,2023-10-05 15:15:00,OANDA:AUDUSD,0.6344,0.63449,0.6336,0.63393,873.0
23,2023-10-05 15:00:00,OANDA:AUDUSD,0.63492,0.6351,0.6343,0.6344,589.0
24,2023-10-05 14:45:00,OANDA:AUDUSD,0.63508,0.635105,0.63457,0.63492,628.0
25,2023-10-05 14:30:00,OANDA:AUDUSD,0.63452,0.6351,0.63442,0.63508,543.0
26,2023-10-05 14:15:00,OANDA:AUDUSD,0.63447,0.634925,0.63426,0.63452,440.0
27,2023-10-05 14:00:00,OANDA:AUDUSD,0.63472,0.63486,0.634175,0.63447,647.0
28,2023-10-05 13:45:00,OANDA:AUDUSD,0.63447,0.634765,0.63432,0.63472,637.0
29,2023-10-05 13:30:00,OANDA:AUDUSD,0.63409,0.63453,0.63404,0.63447,539.0
30,2023-10-05 13:15:00,OANDA:AUDUSD,0.6338,0.63417,0.63362,0.63409,523.0
31,2023-10-05 13:00:00,OANDA:AUDUSD,0.63348,0.633805,0.633295,0.6338,437.0
32,2023-10-05 12:45:00,OANDA:AUDUSD,0.63354,0.633905,0.63344,0.63348,526.0
33,2023-10-05 12:30:00,OANDA:AUDUSD,0.63367,0.63386,0.63328,0.63354,435.0
34,2023-10-05 12:15:00,OANDA:AUDUSD,0.6337,0.63382,0.6335,0.63367,521.0
35,2023-10-05 12:00:00,OANDA:AUDUSD,0.63324,0.63377,0.63312,0.6337,701.0
