,datetime,symbol,open,high,low,close,volume
0,2023-10-16 18:08:00,OANDA:EURCAD,1.4374,1.4375,1.43736,1.4374,104.0
1,2023-10-16 18:07:00,OANDA:EURCAD,1.43765,1.43768,1.43739,1.4374,114.0
2,2023-10-16 18:06:00,OANDA:EURCAD,1.43737,1.437845,1.43737,1.43765,70.0
3,2023-10-16 18:05:00,OANDA:EURCAD,1.43734,1.43747,1.43731,1.43737,71.0
4,2023-10-16 18:04:00,OANDA:EURCAD,1.43745,1.4375,1.43728,1.43734,190.0
5,2023-10-16 18:03:00,OANDA:EURCAD,1.43771,1.43773,1.43744,1.43745,137.0
6,2023-10-16 18:02:00,OANDA:EURCAD,1.43799,1.43808,1.4377,1.43771,164.0
7,2023-10-16 18:01:00,OANDA:EURCAD,1.43808,1.43818,1.437855,1.43799,153.0
8,2023-10-16 18:00:00,OANDA:EURCAD,1.4382,1.43828,1.438015,1.43808,217.0
9,2023-10-16 17:59:00,OANDA:EURCAD,1.43835,1.43835,1.43807,1.4382,224.0
10,2023-10-16 17:58:00,OANDA:EURCAD,1.43812,1.4384,1.438,1.43835,234.0
11,2023-10-16 17:57:00,OANDA:EURCAD,1.43794,1.43812,1.437675,1.43812,207.0
12,2023-10-16 17:56:00,OANDA:EURCAD,1.43798,1.438,1.437875,1.43794,133.0
13,2023-10-16 17:55:00,OANDA:EURCAD,1.43786,1.438,1.43778,1.43798,100.0
14,2023-10-16 17:54:00,OANDA:EURCAD,1.43791,1.438,1.4377,1.43786,158.0
15,2023-10-16 17:53:00,OANDA:EURCAD,1.43786,1.43798,1.43768,1.43791,82.0
16,2023-10-16 17:52:00,OANDA:EURCAD,1.43768,1.43799,1.43753,1.43786,83.0
17,2023-10-16 17:51:00,OANDA:EURCAD,1.43796,1.43812,1.43768,1.43768,68.0
18,2023-10-16 17:50:00,OANDA:EURCAD,1.43801,1.43839,1.43782,1.43796,156.0
19,2023-10-16 17:49:00,OANDA:EURCAD,1.43796,1.43801,1.43785,1.43801,73.0
20,2023-10-16 17:48:00,OANDA:EURCAD,1.43834,1.43839,1.437915,1.43796,129.0
21,2023-10-16 17:47:00,OANDA:EURCAD,1.4383,1.43852,1.43823,1.43834,154.0
22,2023-10-16 17:46:00,OANDA:EURCAD,1.43809,1.438325,1.43804,1.4383,152.0
23,2023-10-16 17:45:00,OANDA:EURCAD,1.43784,1.4381,1.43778,1.43809,148.0
24,2023-10-16 17:44:00,OANDA:EURCAD,1.43758,1.437925,1.437555,1.43784,206.0
25,2023-10-16 17:43:00,OANDA:EURCAD,1.43733,1.43761,1.43732,1.43758,148.0
26,2023-10-16 17:42:00,OANDA:EURCAD,1.43707,1.43733,1.43703,1.43733,147.0
27,2023-10-16 17:41:00,OANDA:EURCAD,1.437,1.43715,1.43694,1.43707,185.0
28,2023-10-16 17:40:00,OANDA:EURCAD,1.43714,1.43714,1.43696,1.437,191.0
29,2023-10-16 17:39:00,OANDA:EURCAD,1.43708,1.43738,1.437,1.43714,220.0
30,2023-10-16 17:38:00,OANDA:EURCAD,1.43699,1.43708,1.43692,1.43708,132.0
31,2023-10-16 17:37:00,OANDA:EURCAD,1.43701,1.43738,1.43699,1.43699,109.0
32,2023-10-16 17:36:00,OANDA:EURCAD,1.43692,1.437125,1.43682,1.43701,81.0
33,2023-10-16 17:35:00,OANDA:EURCAD,1.43662,1.436945,1.436595,1.43692,113.0
34,2023-10-16 17:34:00,OANDA:EURCAD,1.43663,1.43678,1.43654,1.43662,145.0
35,2023-10-16 17:33:00,OANDA:EURCAD,1.4364,1.43671,1.4364,1.43663,184.0
36,2023-10-16 17:32:00,OANDA:EURCAD,1.43622,1.43652,1.43618,1.4364,174.0
37,2023-10-16 17:31:00,OANDA:EURCAD,1.43616,1.43636,1.43608,1.43622,165.0
38,2023-10-16 17:30:00,OANDA:EURCAD,1.43599,1.436165,1.43581,1.43616,124.0
39,2023-10-16 17:29:00,OANDA:EURCAD,1.43595,1.43611,1.43579,1.43599,99.0
