,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
2553,2023-08-02 12:30:00,1.27774,neutral,neutral,short,long,long,short,Interval.in_30_minute,GBPUSD
2554,2023-08-02 12:00:00,1.27855,neutral,long,short,long,long,neutral,Interval.in_30_minute,GBPUSD
2555,2023-08-02 11:30:00,1.27875,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
2556,2023-08-02 11:00:00,1.27948,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
2557,2023-08-02 10:30:00,1.27922,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
2558,2023-08-02 10:00:00,1.277,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
2559,2023-08-02 09:30:00,1.27739,neutral,short,short,long,short,neutral,Interval.in_30_minute,GBPUSD
2560,2023-08-02 09:00:00,1.27616,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
2561,2023-08-02 08:30:00,1.27726,neutral,long,short,long,long,neutral,Interval.in_30_minute,GBPUSD
2562,2023-08-02 08:00:00,1.27825,neutral,short,short,long,long,neutral,Interval.in_30_minute,GBPUSD
2563,2023-08-02 07:30:00,1.2778,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
2564,2023-08-02 07:00:00,1.27742,neutral,long,short,long,short,neutral,Interval.in_30_minute,GBPUSD
2565,2023-08-02 06:30:00,1.27748,short,short,short,long,short,neutral,Interval.in_30_minute,GBPUSD
2566,2023-08-02 06:00:00,1.27701,neutral,long,short,long,short,short,Interval.in_30_minute,GBPUSD
2567,2023-08-02 05:30:00,1.27725,neutral,long,short,long,short,short,Interval.in_30_minute,GBPUSD
2568,2023-08-02 05:00:00,1.27776,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
2569,2023-08-02 04:30:00,1.27833,neutral,short,short,long,short,neutral,Interval.in_30_minute,GBPUSD
2570,2023-08-02 04:00:00,1.27872,neutral,short,short,long,short,neutral,Interval.in_30_minute,GBPUSD
2571,2023-08-02 03:30:00,1.27807,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
2572,2023-08-02 03:00:00,1.27796,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
2573,2023-08-02 02:30:00,1.27949,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
2574,2023-08-02 02:00:00,1.27928,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,GBPUSD
2575,2023-08-02 01:30:00,1.27968,neutral,long,short,short,long,neutral,Interval.in_30_minute,GBPUSD
2576,2023-08-02 01:00:00,1.27886,neutral,short,short,long,long,neutral,Interval.in_30_minute,GBPUSD
2577,2023-08-02 00:30:00,1.27914,neutral,neutral,short,short,long,long,Interval.in_30_minute,GBPUSD
2578,2023-08-02 00:00:00,1.2778,neutral,neutral,short,long,long,long,Interval.in_30_minute,GBPUSD
2579,2023-08-01 23:30:00,1.27774,neutral,neutral,short,long,long,long,Interval.in_30_minute,GBPUSD
