,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
78,2023-10-11 21:06:00,1.22916,neutral,neutral,short,long,long,Interval.in_3_minute,GBPUSD,long,long,long,short
79,2023-10-11 21:03:00,1.22908,neutral,neutral,short,long,long,Interval.in_3_minute,GBPUSD,long,long,short,short
80,2023-10-11 21:00:00,1.22904,neutral,neutral,short,long,long,Interval.in_3_minute,GBPUSD,long,long,short,short
81,2023-10-11 20:57:00,1.22873,neutral,neutral,short,long,long,Interval.in_3_minute,GBPUSD,long,long,short,long
82,2023-10-11 20:54:00,1.22872,neutral,neutral,short,long,long,Interval.in_3_minute,GBPUSD,long,long,short,long
83,2023-10-11 20:51:00,1.22853,short,short,short,long,neutral,Interval.in_3_minute,GBPUSD,long,long,short,long
84,2023-10-11 20:48:00,1.22782,short,short,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,short,long
85,2023-10-11 20:45:00,1.22754,neutral,long,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,short,long
86,2023-10-11 20:42:00,1.22804,short,short,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,short,long
87,2023-10-11 20:39:00,1.22776,neutral,neutral,short,short,short,Interval.in_3_minute,GBPUSD,long,short,short,long
88,2023-10-11 20:36:00,1.2278,neutral,neutral,short,short,short,Interval.in_3_minute,GBPUSD,long,short,short,long
89,2023-10-11 20:33:00,1.22796,neutral,neutral,short,short,short,Interval.in_3_minute,GBPUSD,long,short,short,long
90,2023-10-11 20:30:00,1.2284,neutral,neutral,short,short,short,Interval.in_3_minute,GBPUSD,long,short,short,long
91,2023-10-11 20:27:00,1.22903,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,short,short,short
92,2023-10-11 20:24:00,1.22908,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,long,short
93,2023-10-11 20:21:00,1.2292,neutral,neutral,short,long,neutral,Interval.in_3_minute,GBPUSD,long,neutral,short,short
94,2023-10-11 20:18:00,1.22904,neutral,neutral,short,short,short,Interval.in_3_minute,GBPUSD,long,short,short,short
95,2023-10-11 20:15:00,1.22924,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,short,short,short
96,2023-10-11 20:12:00,1.22932,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,short,short
97,2023-10-11 20:09:00,1.22933,short,short,short,short,neutral,Interval.in_3_minute,GBPUSD,long,long,short,short
98,2023-10-11 20:06:00,1.22902,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,short,short
99,2023-10-11 20:03:00,1.22902,short,short,short,short,neutral,Interval.in_3_minute,GBPUSD,long,short,short,long
100,2023-10-11 20:00:00,1.22938,neutral,short,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,short,long
