,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
3872,2023-04-25 23:15:00,0.9029,neutral,neutral,short,short,long,Interval.in_45_minute,AUDCAD,long,long,short,short
3873,2023-04-25 22:30:00,0.90286,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,long,short,short
3874,2023-04-25 21:45:00,0.90261,short,short,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
3875,2023-04-25 21:00:00,0.90244,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
3876,2023-04-25 20:15:00,0.90308,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
3877,2023-04-25 19:30:00,0.90296,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,short,short,short
3878,2023-04-25 18:45:00,0.90302,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
3879,2023-04-25 18:00:00,0.90314,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
3880,2023-04-25 17:15:00,0.90309,neutral,neutral,short,short,short,Interval.in_45_minute,AUDCAD,long,short,short,short
3881,2023-04-25 16:30:00,0.9031,neutral,neutral,short,short,short,Interval.in_45_minute,AUDCAD,long,short,short,short
3882,2023-04-25 15:45:00,0.904,neutral,neutral,short,short,short,Interval.in_45_minute,AUDCAD,long,short,short,short
3883,2023-04-25 15:00:00,0.90436,short,short,short,long,neutral,Interval.in_45_minute,AUDCAD,long,short,short,short
3884,2023-04-25 14:15:00,0.90444,long,long,short,long,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
3885,2023-04-25 13:30:00,0.90524,neutral,neutral,short,long,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
3886,2023-04-25 12:45:00,0.90484,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
3887,2023-04-25 12:00:00,0.90496,short,short,short,short,neutral,Interval.in_45_minute,AUDCAD,long,long,short,short
3888,2023-04-25 11:15:00,0.90434,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
3889,2023-04-25 10:30:00,0.90378,short,short,short,short,neutral,Interval.in_45_minute,AUDCAD,long,short,short,long
3890,2023-04-25 09:45:00,0.90464,long,long,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,long,short
3891,2023-04-25 09:00:00,0.90528,neutral,short,short,long,long,Interval.in_45_minute,AUDCAD,long,long,short,short
3892,2023-04-25 08:15:00,0.9052,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,long,short,short
3893,2023-04-25 07:30:00,0.9048,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
3894,2023-04-25 06:45:00,0.90476,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,long,short
3895,2023-04-25 06:00:00,0.90511,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,long,short
3896,2023-04-25 05:15:00,0.90502,neutral,neutral,short,short,short,Interval.in_45_minute,AUDCAD,long,short,long,short
3897,2023-04-25 04:30:00,0.90515,long,long,short,short,short,Interval.in_45_minute,AUDCAD,long,short,long,short
