,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
1141,2023-08-10 03:00:00,1.47208,short,short,short,short,short,neutral,Interval.in_1_hour,EURCAD
1142,2023-08-10 02:00:00,1.47306,neutral,neutral,short,short,long,neutral,Interval.in_1_hour,EURCAD
1143,2023-08-10 01:00:00,1.47322,neutral,neutral,short,short,short,neutral,Interval.in_1_hour,EURCAD
1144,2023-08-10 00:00:00,1.4732,neutral,neutral,short,short,short,neutral,Interval.in_1_hour,EURCAD
1145,2023-08-09 23:00:00,1.47297,neutral,neutral,short,short,short,neutral,Interval.in_1_hour,EURCAD
1146,2023-08-09 22:00:00,1.47305,neutral,neutral,short,short,short,neutral,Interval.in_1_hour,EURCAD
1147,2023-08-09 21:00:00,1.47243,neutral,neutral,short,short,short,short,Interval.in_1_hour,EURCAD
1148,2023-08-09 20:00:00,1.47379,short,short,short,short,short,neutral,Interval.in_1_hour,EURCAD
1149,2023-08-09 19:00:00,1.47473,neutral,neutral,short,short,long,neutral,Interval.in_1_hour,EURCAD
1150,2023-08-09 18:00:00,1.47532,neutral,neutral,short,short,long,neutral,Interval.in_1_hour,EURCAD
1151,2023-08-09 17:00:00,1.47531,long,long,short,short,long,neutral,Interval.in_1_hour,EURCAD
1152,2023-08-09 16:00:00,1.4746,neutral,neutral,short,short,long,neutral,Interval.in_1_hour,EURCAD
1153,2023-08-09 15:00:00,1.47646,short,short,short,short,long,long,Interval.in_1_hour,EURCAD
1154,2023-08-09 14:00:00,1.47312,neutral,neutral,short,short,long,neutral,Interval.in_1_hour,EURCAD
1155,2023-08-09 13:00:00,1.47304,neutral,neutral,short,short,long,neutral,Interval.in_1_hour,EURCAD
1156,2023-08-09 12:00:00,1.47302,neutral,neutral,short,short,long,neutral,Interval.in_1_hour,EURCAD
1157,2023-08-09 11:00:00,1.47374,neutral,short,short,short,long,neutral,Interval.in_1_hour,EURCAD
1158,2023-08-09 10:00:00,1.47322,short,short,short,short,long,neutral,Interval.in_1_hour,EURCAD
1159,2023-08-09 09:00:00,1.4712,neutral,long,short,short,long,neutral,Interval.in_1_hour,EURCAD
