,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
2869,2023-07-24 22:30:00,1.10603,neutral,neutral,short,long,short,short,Interval.in_30_minute,EURUSD
2870,2023-07-24 22:00:00,1.10626,neutral,neutral,short,long,short,short,Interval.in_30_minute,EURUSD
2871,2023-07-24 21:30:00,1.10708,neutral,neutral,short,long,short,short,Interval.in_30_minute,EURUSD
2872,2023-07-24 21:00:00,1.10732,neutral,neutral,short,long,short,short,Interval.in_30_minute,EURUSD
2873,2023-07-24 20:30:00,1.10749,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
2874,2023-07-24 20:00:00,1.10773,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
2875,2023-07-24 19:30:00,1.10814,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
2876,2023-07-24 19:00:00,1.10787,neutral,long,short,long,short,neutral,Interval.in_30_minute,EURUSD
2877,2023-07-24 18:30:00,1.10822,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
2878,2023-07-24 18:00:00,1.10742,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
2879,2023-07-24 17:30:00,1.10793,short,short,short,long,short,neutral,Interval.in_30_minute,EURUSD
2880,2023-07-24 17:00:00,1.10706,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
2881,2023-07-24 16:30:00,1.1085,short,short,short,long,short,neutral,Interval.in_30_minute,EURUSD
2882,2023-07-24 16:00:00,1.10802,neutral,neutral,short,long,short,short,Interval.in_30_minute,EURUSD
2883,2023-07-24 15:30:00,1.10878,neutral,neutral,short,long,long,short,Interval.in_30_minute,EURUSD
2884,2023-07-24 15:00:00,1.10884,neutral,long,short,long,long,neutral,Interval.in_30_minute,EURUSD
2885,2023-07-24 14:30:00,1.10974,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
2886,2023-07-24 14:00:00,1.1101,neutral,long,short,long,long,neutral,Interval.in_30_minute,EURUSD
2887,2023-07-24 13:30:00,1.10917,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
2888,2023-07-24 13:00:00,1.10818,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
2889,2023-07-24 12:30:00,1.1082,neutral,long,short,long,short,neutral,Interval.in_30_minute,EURUSD
2890,2023-07-24 12:00:00,1.10874,short,short,short,long,short,neutral,Interval.in_30_minute,EURUSD
2891,2023-07-24 11:30:00,1.1071,neutral,neutral,short,long,short,short,Interval.in_30_minute,EURUSD
2892,2023-07-24 11:00:00,1.10804,neutral,neutral,short,long,short,short,Interval.in_30_minute,EURUSD
2893,2023-07-24 10:30:00,1.10812,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
2894,2023-07-24 10:00:00,1.11248,long,long,short,long,long,neutral,Interval.in_30_minute,EURUSD
2895,2023-07-24 09:30:00,1.1136,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
2896,2023-07-24 09:00:00,1.11296,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
2897,2023-07-24 08:30:00,1.11318,long,long,short,long,short,neutral,Interval.in_30_minute,EURUSD
2898,2023-07-24 08:00:00,1.1121,short,short,short,long,short,neutral,Interval.in_30_minute,EURUSD
2899,2023-07-24 07:30:00,1.11203,neutral,neutral,short,long,short,short,Interval.in_30_minute,EURUSD
2900,2023-07-24 07:00:00,1.11206,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
2901,2023-07-24 06:30:00,1.11257,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
2902,2023-07-24 06:00:00,1.11274,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
2903,2023-07-24 05:30:00,1.11265,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
2904,2023-07-24 05:00:00,1.11302,short,short,short,long,short,neutral,Interval.in_30_minute,EURUSD
2905,2023-07-24 04:30:00,1.11222,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
2906,2023-07-24 04:00:00,1.11219,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
2907,2023-07-24 03:30:00,1.11298,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
