,datetime,is_profit,signal,open_signal_price,close_signal_price,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,2023-10-06 18:39:00,True,long,0.8729,0.87314,long,long,long,long,long
1,2023-10-06 18:06:00,True,long,0.87114,0.87116,long,neutral,long,long,long
2,2023-10-06 18:04:00,False,long,0.87112,0.87096,long,long,long,long,long
3,2023-10-06 17:46:00,True,long,0.87079,0.87096,long,neutral,long,long,long
4,2023-10-06 17:40:00,False,long,0.87114,0.87101,long,neutral,long,long,long
5,2023-10-06 17:38:00,False,long,0.87138,0.87116,long,long,long,long,long
6,2023-10-06 17:26:00,False,long,0.87068,0.87066,long,neutral,long,long,long
7,2023-10-06 15:20:00,True,long,0.87286,0.87302,long,neutral,long,long,long
8,2023-10-06 14:37:00,False,long,0.87222,0.8722,long,neutral,long,long,long
9,2023-10-06 13:15:00,False,long,0.8724,0.87208,long,neutral,long,long,long
10,2023-10-06 12:44:00,False,long,0.87256,0.87238,long,neutral,long,long,long
11,2023-10-06 12:05:00,False,long,0.87278,0.87261,long,neutral,long,long,long
12,2023-10-06 11:42:00,False,short,0.87214,0.87242,short,neutral,short,short,short
13,2023-10-06 11:23:00,False,short,0.87223,0.8725,short,neutral,short,short,short
14,2023-10-06 09:27:00,False,short,0.8725,0.87258,short,neutral,short,short,short
15,2023-10-06 09:04:00,False,short,0.8725,0.87258,short,neutral,short,short,short
16,2023-10-06 08:53:00,True,short,0.87244,0.87237,short,neutral,short,short,short
17,2023-10-06 08:33:00,False,short,0.87272,0.87274,short,short,short,long,short
18,2023-10-06 08:26:00,True,short,0.87306,0.87294,short,neutral,short,short,short
19,2023-10-06 08:19:00,True,short,0.87326,0.87326,short,neutral,short,short,short
20,2023-10-06 07:10:00,True,short,0.87376,0.87366,short,neutral,short,short,short
21,2023-10-06 04:40:00,False,long,0.87357,0.87354,long,neutral,long,long,long
