,Unnamed: 0,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,sp8/10/8,sp16/12/16
0,0,2023-10-27 12:00:00,OANDA:AUDCHF,0.57188,0.57191,0.571595,0.571645,173.0,Interval.in_45_minute,57412800.0,long,short
1,1,2023-10-27 11:15:00,OANDA:AUDCHF,0.57138,0.57224,0.57133,0.57188,1515.0,Interval.in_45_minute,57410100.0,long,short
2,2,2023-10-27 10:30:00,OANDA:AUDCHF,0.56965,0.57146,0.56954,0.57138,1376.0,Interval.in_45_minute,57407400.0,long,short
3,3,2023-10-27 09:45:00,OANDA:AUDCHF,0.5702,0.57025,0.56916,0.56965,1721.0,Interval.in_45_minute,57404700.0,long,short
4,4,2023-10-27 09:00:00,OANDA:AUDCHF,0.57018,0.57081,0.57008,0.5702,1390.0,Interval.in_45_minute,57402000.0,long,short
5,5,2023-10-27 08:15:00,OANDA:AUDCHF,0.57002,0.57038,0.56977,0.57018,915.0,Interval.in_45_minute,57399300.0,long,short
6,6,2023-10-27 07:30:00,OANDA:AUDCHF,0.56954,0.57024,0.5695,0.57002,764.0,Interval.in_45_minute,57396600.0,long,short
7,7,2023-10-27 06:45:00,OANDA:AUDCHF,0.5694,0.56966,0.569335,0.56954,750.0,Interval.in_45_minute,57393900.0,long,short
8,8,2023-10-27 06:00:00,OANDA:AUDCHF,0.56956,0.56977,0.569395,0.5694,923.0,Interval.in_45_minute,57391200.0,long,short
9,9,2023-10-27 05:15:00,OANDA:AUDCHF,0.57008,0.57014,0.5693,0.56956,1061.0,Interval.in_45_minute,57388500.0,long,short
10,10,2023-10-27 04:30:00,OANDA:AUDCHF,0.56926,0.57026,0.5691,0.57008,1411.0,Interval.in_45_minute,57385800.0,long,short
11,11,2023-10-27 03:45:00,OANDA:AUDCHF,0.5694,0.56985,0.56886,0.56926,1231.0,Interval.in_45_minute,57383100.0,long,short
12,12,2023-10-27 03:00:00,OANDA:AUDCHF,0.5693,0.56968,0.5691,0.5694,1093.0,Interval.in_45_minute,57380400.0,long,short
13,13,2023-10-27 02:15:00,OANDA:AUDCHF,0.56894,0.56946,0.56888,0.5693,507.0,Interval.in_45_minute,57377700.0,long,short
14,14,2023-10-27 01:30:00,OANDA:AUDCHF,0.56861,0.56898,0.56861,0.56894,346.0,Interval.in_45_minute,57375000.0,long,short
15,15,2023-10-27 00:45:00,OANDA:AUDCHF,0.56796,0.56889,0.5679,0.56861,909.0,Interval.in_45_minute,57372300.0,long,short
16,16,2023-10-27 00:00:00,OANDA:AUDCHF,0.56826,0.56857,0.56784,0.56796,65.0,Interval.in_45_minute,57369600.0,long,short
17,17,2023-10-26 23:15:00,OANDA:AUDCHF,0.56816,0.56873,0.56794,0.568265,616.0,Interval.in_45_minute,57366900.0,long,short
18,18,2023-10-26 22:30:00,OANDA:AUDCHF,0.56856,0.56869,0.56808,0.56816,1236.0,Interval.in_45_minute,57364200.0,long,short
19,19,2023-10-26 21:45:00,OANDA:AUDCHF,0.56882,0.56903,0.56854,0.56856,1316.0,Interval.in_45_minute,57361500.0,long,short
20,20,2023-10-26 21:00:00,OANDA:AUDCHF,0.56872,0.56915,0.56872,0.56882,1279.0,Interval.in_45_minute,57358800.0,long,short
21,21,2023-10-26 20:15:00,OANDA:AUDCHF,0.56802,0.56878,0.56802,0.56872,1591.0,Interval.in_45_minute,57356100.0,long,short
22,22,2023-10-26 19:30:00,OANDA:AUDCHF,0.56782,0.56811,0.56726,0.56802,1874.0,Interval.in_45_minute,57353400.0,long,short
23,23,2023-10-26 18:45:00,OANDA:AUDCHF,0.56738,0.5679,0.56723,0.56782,2058.0,Interval.in_45_minute,57350700.0,long,short
24,24,2023-10-26 18:00:00,OANDA:AUDCHF,0.56804,0.56808,0.56702,0.56738,3197.0,Interval.in_45_minute,57348000.0,long,short
25,25,2023-10-26 17:15:00,OANDA:AUDCHF,0.56716,0.56844,0.56694,0.56804,3820.0,Interval.in_45_minute,57345300.0,long,short
26,26,2023-10-26 16:30:00,OANDA:AUDCHF,0.56676,0.56764,0.56662,0.56716,4888.0,Interval.in_45_minute,57342600.0,long,short
27,27,2023-10-26 15:45:00,OANDA:AUDCHF,0.5666,0.567265,0.56632,0.56676,3788.0,Interval.in_45_minute,57339900.0,long,short
28,28,2023-10-26 15:00:00,OANDA:AUDCHF,0.56593,0.56672,0.56568,0.5666,4884.0,Interval.in_45_minute,57337200.0,long,short
29,29,2023-10-26 14:15:00,OANDA:AUDCHF,0.56622,0.566645,0.56593,0.56593,1505.0,Interval.in_45_minute,57334500.0,long,short
