,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
3517,2023-10-11 05:00:00,OANDA:AUDCHF,0.58166,0.58174,0.58142,0.5815,139.0,Interval.in_5_minute,56005200.0,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3518,2023-10-11 04:55:00,OANDA:AUDCHF,0.58164,0.58175,0.58158,0.58166,139.0,Interval.in_5_minute,56004900.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3519,2023-10-11 04:50:00,OANDA:AUDCHF,0.5818,0.5818,0.58164,0.58164,164.0,Interval.in_5_minute,56004600.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3520,2023-10-11 04:45:00,OANDA:AUDCHF,0.58186,0.58202,0.58176,0.5818,294.0,Interval.in_5_minute,56004300.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3521,2023-10-11 04:40:00,OANDA:AUDCHF,0.58171,0.58192,0.58171,0.58186,162.0,Interval.in_5_minute,56004000.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3522,2023-10-11 04:35:00,OANDA:AUDCHF,0.5817,0.58176,0.58162,0.58171,89.0,Interval.in_5_minute,56003700.0,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3523,2023-10-11 04:30:00,OANDA:AUDCHF,0.58193,0.58193,0.58156,0.5817,199.0,Interval.in_5_minute,56003400.0,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3524,2023-10-11 04:25:00,OANDA:AUDCHF,0.58162,0.58195,0.58158,0.58193,204.0,Interval.in_5_minute,56003100.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3525,2023-10-11 04:20:00,OANDA:AUDCHF,0.58178,0.58182,0.5816,0.58162,175.0,Interval.in_5_minute,56002800.0,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
3526,2023-10-11 04:15:00,OANDA:AUDCHF,0.58217,0.58224,0.58174,0.58178,218.0,Interval.in_5_minute,56002500.0,short,long,short,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
