,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20
2684,2023-10-19 21:18:00,OANDA:GBPAUD,1.91731,1.91794,1.91728,1.91794,445.0,Interval.in_3_minute,56755080.0,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long
2685,2023-10-19 21:15:00,OANDA:GBPAUD,1.91775,1.918,1.91728,1.91731,703.0,Interval.in_3_minute,56754900.0,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long
2686,2023-10-19 21:12:00,OANDA:GBPAUD,1.91838,1.91839,1.9175,1.91775,674.0,Interval.in_3_minute,56754720.0,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long
2687,2023-10-19 21:09:00,OANDA:GBPAUD,1.9181,1.91855,1.91792,1.91838,771.0,Interval.in_3_minute,56754540.0,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2688,2023-10-19 21:06:00,OANDA:GBPAUD,1.91816,1.91835,1.91786,1.9181,859.0,Interval.in_3_minute,56754360.0,short,long,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2689,2023-10-19 21:03:00,OANDA:GBPAUD,1.91804,1.91822,1.91773,1.91816,838.0,Interval.in_3_minute,56754180.0,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2690,2023-10-19 21:00:00,OANDA:GBPAUD,1.91844,1.91869,1.91802,1.91804,699.0,Interval.in_3_minute,56754000.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2691,2023-10-19 20:57:00,OANDA:GBPAUD,1.9179,1.91864,1.91781,1.91844,656.0,Interval.in_3_minute,56753820.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2692,2023-10-19 20:54:00,OANDA:GBPAUD,1.91825,1.9184,1.91754,1.9179,636.0,Interval.in_3_minute,56753640.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2693,2023-10-19 20:51:00,OANDA:GBPAUD,1.91801,1.91836,1.91787,1.91825,835.0,Interval.in_3_minute,56753460.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2694,2023-10-19 20:48:00,OANDA:GBPAUD,1.91824,1.9183,1.91788,1.91801,655.0,Interval.in_3_minute,56753280.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
2695,2023-10-19 20:45:00,OANDA:GBPAUD,1.91778,1.91824,1.91778,1.91824,660.0,Interval.in_3_minute,56753100.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short
2696,2023-10-19 20:42:00,OANDA:GBPAUD,1.91768,1.91818,1.91766,1.91778,697.0,Interval.in_3_minute,56752920.0,long,long,long,long,long,long,long,long,long,long,long,short,short,long,long,short,short,short
2697,2023-10-19 20:39:00,OANDA:GBPAUD,1.9173,1.91782,1.9173,1.91768,720.0,Interval.in_3_minute,56752740.0,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short
2698,2023-10-19 20:36:00,OANDA:GBPAUD,1.91746,1.91778,1.91728,1.9173,845.0,Interval.in_3_minute,56752560.0,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short
2699,2023-10-19 20:33:00,OANDA:GBPAUD,1.91728,1.91755,1.91702,1.91746,887.0,Interval.in_3_minute,56752380.0,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short
2700,2023-10-19 20:30:00,OANDA:GBPAUD,1.91683,1.91728,1.9166,1.91728,977.0,Interval.in_3_minute,56752200.0,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short
2701,2023-10-19 20:27:00,OANDA:GBPAUD,1.91692,1.91742,1.91668,1.91683,717.0,Interval.in_3_minute,56752020.0,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2702,2023-10-19 20:24:00,OANDA:GBPAUD,1.91712,1.91714,1.91672,1.91692,867.0,Interval.in_3_minute,56751840.0,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2703,2023-10-19 20:21:00,OANDA:GBPAUD,1.91655,1.91727,1.91646,1.91712,1090.0,Interval.in_3_minute,56751660.0,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2704,2023-10-19 20:18:00,OANDA:GBPAUD,1.91671,1.91696,1.91636,1.91655,843.0,Interval.in_3_minute,56751480.0,neutral,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2705,2023-10-19 20:15:00,OANDA:GBPAUD,1.91672,1.91715,1.91637,1.91671,876.0,Interval.in_3_minute,56751300.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2706,2023-10-19 20:12:00,OANDA:GBPAUD,1.9164,1.91676,1.9162,1.91672,944.0,Interval.in_3_minute,56751120.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2707,2023-10-19 20:09:00,OANDA:GBPAUD,1.91686,1.91687,1.91594,1.9164,938.0,Interval.in_3_minute,56750940.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2708,2023-10-19 20:06:00,OANDA:GBPAUD,1.91754,1.91765,1.91668,1.91686,1152.0,Interval.in_3_minute,56750760.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2709,2023-10-19 20:03:00,OANDA:GBPAUD,1.91752,1.91786,1.9173,1.91754,1123.0,Interval.in_3_minute,56750580.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2710,2023-10-19 20:00:00,OANDA:GBPAUD,1.91808,1.91808,1.91721,1.91752,1204.0,Interval.in_3_minute,56750400.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2711,2023-10-19 19:57:00,OANDA:GBPAUD,1.91788,1.91825,1.91754,1.91808,903.0,Interval.in_3_minute,56750220.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2712,2023-10-19 19:54:00,OANDA:GBPAUD,1.91754,1.91809,1.917,1.91788,1217.0,Interval.in_3_minute,56750040.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2713,2023-10-19 19:51:00,OANDA:GBPAUD,1.91783,1.91832,1.91724,1.91754,941.0,Interval.in_3_minute,56749860.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
2714,2023-10-19 19:48:00,OANDA:GBPAUD,1.91818,1.9187,1.9176,1.91783,1117.0,Interval.in_3_minute,56749680.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
