,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
3927,2023-02-24 07:00:00,0.63604,neutral,neutral,short,long,short,Interval.in_1_hour,AUDCHF,long,short,long,long
3928,2023-02-24 06:00:00,0.63632,neutral,neutral,short,long,short,Interval.in_1_hour,AUDCHF,long,short,long,long
3929,2023-02-24 05:00:00,0.6364,long,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,long,long
3930,2023-02-24 04:00:00,0.63652,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
3931,2023-02-24 03:00:00,0.6367,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,long,long
3932,2023-02-24 02:00:00,0.63608,neutral,short,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,long,long
3933,2023-02-24 01:00:00,0.63576,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
3934,2023-02-24 00:00:00,0.63564,neutral,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,long,long
3935,2023-02-23 23:00:00,0.6358,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
3936,2023-02-23 22:00:00,0.63592,neutral,neutral,short,short,long,Interval.in_1_hour,AUDCHF,long,long,long,long
3937,2023-02-23 21:00:00,0.63551,neutral,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,long,long,long
3938,2023-02-23 20:00:00,0.63482,short,short,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
3939,2023-02-23 19:00:00,0.63406,neutral,neutral,short,short,short,Interval.in_1_hour,AUDCHF,long,short,long,long
3940,2023-02-23 18:00:00,0.63418,neutral,long,short,short,neutral,Interval.in_1_hour,AUDCHF,long,short,long,long
3941,2023-02-23 17:00:00,0.63542,long,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,short
3942,2023-02-23 16:00:00,0.63716,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
3943,2023-02-23 15:00:00,0.6362,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,short,long,long
3944,2023-02-23 14:00:00,0.63654,long,long,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
3945,2023-02-23 13:00:00,0.63664,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
3946,2023-02-23 12:00:00,0.63574,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
3947,2023-02-23 11:00:00,0.63612,long,long,short,long,long,Interval.in_1_hour,AUDCHF,long,long,long,long
3948,2023-02-23 10:00:00,0.63602,neutral,neutral,short,long,long,Interval.in_1_hour,AUDCHF,long,long,long,long
3949,2023-02-23 09:00:00,0.63582,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDCHF,long,long,long,long
3950,2023-02-23 08:00:00,0.6349,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDCHF,long,neutral,long,long
