,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
3812,2023-06-27 05:00:00,1.8965,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3813,2023-06-27 04:30:00,1.89644,neutral,neutral,short,long,short,short,Interval.in_30_minute,GBPAUD
3814,2023-06-27 04:00:00,1.89909,neutral,neutral,short,long,short,short,Interval.in_30_minute,GBPAUD
3815,2023-06-27 03:30:00,1.90255,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3816,2023-06-27 03:00:00,1.90357,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3817,2023-06-27 02:30:00,1.90455,long,long,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3818,2023-06-27 02:00:00,1.9044,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3819,2023-06-27 01:30:00,1.90406,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3820,2023-06-27 01:00:00,1.90426,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3821,2023-06-27 00:30:00,1.90494,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3822,2023-06-27 00:00:00,1.90422,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3823,2023-06-26 23:30:00,1.90433,long,long,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3824,2023-06-26 23:00:00,1.90445,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3825,2023-06-26 22:30:00,1.90349,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3826,2023-06-26 22:00:00,1.9038,short,short,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3827,2023-06-26 21:30:00,1.90359,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3828,2023-06-26 21:00:00,1.90478,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3829,2023-06-26 20:30:00,1.90408,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3830,2023-06-26 20:00:00,1.90466,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3831,2023-06-26 19:30:00,1.9043,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3832,2023-06-26 19:00:00,1.90446,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3833,2023-06-26 18:30:00,1.9044,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3834,2023-06-26 18:00:00,1.90452,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3835,2023-06-26 17:30:00,1.90385,neutral,neutral,short,long,long,short,Interval.in_30_minute,GBPAUD
3836,2023-06-26 17:00:00,1.90402,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3837,2023-06-26 16:30:00,1.90422,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3838,2023-06-26 16:00:00,1.9056,short,short,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3839,2023-06-26 15:30:00,1.90373,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3840,2023-06-26 15:00:00,1.9024,short,short,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3841,2023-06-26 14:30:00,1.90279,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3842,2023-06-26 14:00:00,1.9024,neutral,neutral,short,long,short,short,Interval.in_30_minute,GBPAUD
3843,2023-06-26 13:30:00,1.90449,neutral,neutral,short,short,short,short,Interval.in_30_minute,GBPAUD
3844,2023-06-26 13:00:00,1.9077,neutral,neutral,short,long,long,short,Interval.in_30_minute,GBPAUD
3845,2023-06-26 12:30:00,1.90815,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3846,2023-06-26 12:00:00,1.9091,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,GBPAUD
3847,2023-06-26 11:30:00,1.9096,long,long,short,short,long,long,Interval.in_30_minute,GBPAUD
3848,2023-06-26 11:00:00,1.90939,neutral,neutral,short,short,long,long,Interval.in_30_minute,GBPAUD
3849,2023-06-26 10:30:00,1.90816,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3850,2023-06-26 10:00:00,1.9075,neutral,long,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3851,2023-06-26 09:30:00,1.90534,long,long,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3852,2023-06-26 09:00:00,1.90694,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3853,2023-06-26 08:30:00,1.90623,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3854,2023-06-26 08:00:00,1.90644,neutral,neutral,short,long,long,long,Interval.in_30_minute,GBPAUD
3855,2023-06-26 07:30:00,1.9048,neutral,neutral,short,long,short,long,Interval.in_30_minute,GBPAUD
3856,2023-06-26 07:00:00,1.90407,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3857,2023-06-26 06:30:00,1.90341,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
3858,2023-06-26 06:00:00,1.90292,neutral,neutral,short,long,short,short,Interval.in_30_minute,GBPAUD
3859,2023-06-26 05:30:00,1.90392,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
