,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30,NW3,NW2,sob_delta_include_breaking,sob_delta,sp8/10/8,sp16/12/16,volume2,volume3,volume4,uma3,uma4,uma5,uma6,uma7,uma8,uma9,uma10,uma11,uma12,uma13,uma14,uma15,uma16,uma17,uma18,uma19,uma20,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12
0,2023-10-27 12:00:00,OANDA:AUDCAD,0.87645,0.87668,0.87633,0.876675,117.0,Interval.in_15_minute,57412800.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,,,,,
1,2023-10-27 11:45:00,OANDA:AUDCAD,0.87647,0.8765700000000001,0.876235,0.87645,387.0,Interval.in_15_minute,57411900.0,,,,,,,,,,,,,,,,,,,short,long,long,long,long,short,short,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,,,,
2,2023-10-27 11:30:00,OANDA:AUDCAD,0.8766,0.87682,0.87632,0.87647,313.0,Interval.in_15_minute,57411000.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long,,,,,,,,,,
3,2023-10-27 11:15:00,OANDA:AUDCAD,0.8764,0.8767,0.8763,0.8766,392.0,Interval.in_15_minute,57410100.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,long,,,,,,,,,
4,2023-10-27 11:00:00,OANDA:AUDCAD,0.87606,0.87659,0.87604,0.8764,360.0,Interval.in_15_minute,57409200.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,long,long,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,,
5,2023-10-27 10:45:00,OANDA:AUDCAD,0.87606,0.87611,0.8758,0.87606,322.0,Interval.in_15_minute,57408300.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,long,long,neutral,long,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,,
6,2023-10-27 10:30:00,OANDA:AUDCAD,0.87594,0.87606,0.87563,0.87606,383.0,Interval.in_15_minute,57407400.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,long,neutral,neutral,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,,
7,2023-10-27 10:15:00,OANDA:AUDCAD,0.8755,0.87594,0.87534,0.87594,457.0,Interval.in_15_minute,57406500.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,neutral,neutral,neutral,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,,,,,
8,2023-10-27 10:00:00,OANDA:AUDCAD,0.87554,0.87574,0.875275,0.8755,472.0,Interval.in_15_minute,57405600.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,short,short,neutral,short,short,short,short,short,short,short,long,long,long,long,long,short,short,long,long,short,short,long,long,long,long,long,long,long,long,,,,
9,2023-10-27 09:45:00,OANDA:AUDCAD,0.87588,0.87593,0.87542,0.87554,372.0,Interval.in_15_minute,57404700.0,,,,,,,,,,,,,,,,,,,short,long,neutral,neutral,long,short,short,neutral,neutral,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,long,long,long,long,long,long,long,long,,,
